iter	RMSE
0	0.7674619143
1	0.7647347135
2	0.7615207785
3	0.7591666384
4	0.7562133994
5	0.7526770144
6	0.7499048955
7	0.7471479428
8	0.7443710404
9	0.7416713773
10	0.7393418305
11	0.7368454018
12	0.7342680746
13	0.7324680169
14	0.7302377174
15	0.7280663821
16	0.7261111523
17	0.723911995
18	0.7221136914
19	0.7203267301
20	0.7182469079
21	0.7160671708
22	0.7144740162
23	0.7133261753
24	0.7117437307
25	0.7099097337
26	0.7087268835
27	0.7072555032
28	0.7059847591
29	0.7045703398
30	0.7035105029
31	0.7020161553
32	0.7011210164
33	0.6995561616
34	0.6989967351
35	0.697755267
36	0.6968930255
37	0.6961572139
38	0.6948790946
39	0.6938509498
40	0.6928958897
41	0.6923771529
42	0.6912155705
43	0.6899512918
44	0.688810109
45	0.6878396993
46	0.6871279141
47	0.6862788105
48	0.6854934132
49	0.6849342655
50	0.6838767779
51	0.6830562285
52	0.6822316679
53	0.6817310336
54	0.6810455355
55	0.6801569051
56	0.6795165161
57	0.6790439583
58	0.6785255623
59	0.6784577555
60	0.6776415276
61	0.6770436913
62	0.6764744476
63	0.6759304448
64	0.6752775006
65	0.6748409377
66	0.6744651547
67	0.6740845915
68	0.6736323961
69	0.6731742639
70	0.6728397376
71	0.6723487605
72	0.6718845449
73	0.6717015915
74	0.6713152875
75	0.6709290936
76	0.6703454445
77	0.6699948153
78	0.6696542247
79	0.669244033
80	0.668845867
81	0.6685169116
82	0.6681486097
83	0.6680833806
84	0.6678279117
85	0.6676693007
86	0.6674466346
87	0.6671972532
88	0.666900243
89	0.6666177401
90	0.6663382348
91	0.6660897152
92	0.6658755448
93	0.6655771488
94	0.6653166733
95	0.6650367261
96	0.6647175888
97	0.6644609517
98	0.664305776
99	0.6640956907
100	0.6637525771
101	0.6635555321
102	0.6632153343
103	0.6628909667
104	0.6627280607
105	0.6625305848
106	0.6623321449
107	0.6621897972
108	0.6620072182
109	0.6618294969
110	0.6617242486
111	0.6616196157
112	0.6614761663
113	0.6613238529
114	0.6611551416
115	0.6610853
116	0.6609234256
117	0.6607487676
118	0.6605556175
119	0.6604011919
120	0.6601909622
121	0.6600630011
122	0.659977856
123	0.6599178613
124	0.6597536296
125	0.6595535509
126	0.6593491616
127	0.659215031
128	0.6590771291
129	0.6588445129
130	0.6587168406
131	0.6585753839
132	0.6584398888
133	0.6583347974
134	0.658163456
135	0.658004401
136	0.6579407301
137	0.6577863052
138	0.6576545481
139	0.6575341292
140	0.657479361
141	0.6574025125
142	0.6572986127
143	0.6570994626
144	0.65697404
145	0.6569246368
146	0.6568058671
147	0.6567197477
148	0.656606058
149	0.6564845549
150	0.656415257
151	0.6563159803
152	0.6562404189
153	0.6561312569
154	0.6560118973
155	0.6559491381
156	0.6557747285
157	0.6556723781
158	0.6555313278
159	0.6554255999
160	0.6552576465
161	0.6551764731
162	0.6550838189
163	0.6549911942
164	0.6548246623
165	0.6547415402
166	0.6546243975
167	0.6545301742
168	0.654397868
169	0.6543527232
170	0.6542716932
171	0.654193722
172	0.6541509926
173	0.6540771846
174	0.6539547213
175	0.6538795693
176	0.6537660041
177	0.653691918
178	0.6536405178
179	0.6536066468
180	0.6535386651
181	0.6535025275
182	0.65343893
183	0.6533616276
184	0.6533398626
185	0.6532747981
186	0.6532220204
187	0.6531406154
188	0.6530668853
189	0.6530246373
190	0.6529781378
191	0.652894503
192	0.6528106012
193	0.6526429576
194	0.6525794258
195	0.6525025343
196	0.6524345657
197	0.6523875754
198	0.6523282076
199	0.6522848859
200	0.6522439124
201	0.6522093704
202	0.6521565921
203	0.652093804
204	0.6520728946
205	0.6520159785
206	0.6519463126
207	0.6519164596
208	0.6518350413
209	0.6517639443
210	0.651719494
211	0.6516579902
212	0.6516054239
213	0.6515175259
214	0.6514901783
215	0.651405903
216	0.6513701609
217	0.6513222162
218	0.6512827662
219	0.6512264019
220	0.6511425849
221	0.6511164635
222	0.6510724401
223	0.6510165929
224	0.6509589848
225	0.6509003006
226	0.6508538422
227	0.6507867725
228	0.6507117259
229	0.6506446202
230	0.6505955506
231	0.6505613282
232	0.6505115237
233	0.6504479553
234	0.6504000283
235	0.6503725909
236	0.6502880422
237	0.6502321062
238	0.6501801108
239	0.6501274679
240	0.650096695
241	0.6500353594
242	0.6499880884
243	0.6499265709
244	0.6498864785
245	0.6498443669
246	0.6497884357
247	0.6497554796
248	0.64972853
249	0.64967349
250	0.6496207846
251	0.6495989373
252	0.6495411605
253	0.649497803
254	0.6494339636
255	0.6493931108
256	0.6493666614
257	0.6493261909
258	0.6493033244
259	0.6492742732
260	0.6492319072
261	0.6491965178
262	0.6491579265
263	0.6491187531
264	0.6490919488
265	0.6490740143
266	0.6490455113
267	0.6490001659
268	0.6489697478
269	0.6489167918
270	0.6488455255
271	0.6488076869
272	0.6487872948
273	0.6487264156
274	0.6487001754
275	0.6486909341
276	0.6486593624
277	0.6486324532
278	0.6486003197
279	0.648576009
280	0.648542067
281	0.6485168942
282	0.6484677066
283	0.648439134
284	0.6484117211
285	0.6483829955
286	0.6483361201
287	0.6482882736
288	0.6482627684
289	0.6482321221
290	0.6481955596
291	0.6481742665
292	0.6481511658
293	0.6481174597
294	0.6480910873
295	0.6480473962
296	0.6480112536
297	0.6479943434
298	0.647966632
299	0.6479487954
