iter	Passed	Remaining
0	2	8510
1	4	7116
2	6	6644
3	8	6376
4	10	6215
5	12	6145
6	14	6059
7	15	5948
8	17	5890
9	19	5850
10	21	5821
11	23	5807
12	25	5794
13	27	5771
14	28	5763
15	30	5751
16	32	5744
17	34	5742
18	36	5741
19	38	5751
20	40	5745
21	42	5739
22	44	5715
23	45	5698
24	47	5680
25	49	5672
26	51	5659
27	53	5656
28	55	5646
29	56	5634
30	58	5620
31	60	5606
32	62	5606
33	64	5596
34	65	5578
35	67	5568
36	69	5548
37	70	5534
38	72	5522
39	74	5510
40	76	5499
41	77	5486
42	79	5473
43	81	5464
44	83	5455
45	84	5446
46	86	5438
47	88	5427
48	89	5419
49	91	5408
50	93	5401
51	95	5395
52	96	5385
53	98	5375
54	100	5366
55	101	5358
56	103	5347
57	105	5338
58	106	5332
59	108	5330
60	110	5330
61	112	5329
62	114	5326
63	115	5318
64	117	5310
65	119	5307
66	122	5343
67	124	5363
68	126	5363
69	128	5363
70	130	5363
71	131	5362
72	133	5365
73	135	5366
74	137	5366
75	139	5367
76	141	5367
77	143	5369
78	145	5370
79	147	5370
80	149	5370
81	150	5371
82	152	5373
83	154	5372
84	156	5372
85	158	5371
86	160	5371
87	162	5370
88	164	5371
89	166	5370
90	167	5368
91	169	5366
92	171	5365
93	173	5363
94	175	5363
95	177	5363
96	179	5365
97	181	5363
98	183	5363
99	184	5364
100	186	5363
101	188	5362
102	190	5361
103	192	5360
104	194	5359
105	196	5359
106	198	5355
107	199	5354
108	201	5353
109	203	5352
110	205	5352
111	207	5352
112	209	5350
113	211	5350
114	213	5350
115	215	5348
116	217	5347
117	218	5345
118	220	5344
119	222	5343
120	224	5342
121	226	5337
122	228	5335
123	230	5338
124	232	5338
125	234	5340
126	236	5339
127	237	5337
128	239	5340
129	241	5342
130	243	5342
131	245	5343
132	247	5341
133	249	5340
134	251	5339
135	253	5335
136	255	5331
137	256	5329
138	258	5324
139	260	5322
140	262	5320
141	264	5317
142	266	5315
143	267	5314
144	269	5313
145	271	5312
146	273	5311
147	275	5308
148	277	5306
149	279	5305
150	281	5304
151	283	5303
152	284	5302
153	286	5301
154	288	5301
155	290	5299
156	292	5298
157	294	5297
158	296	5295
159	298	5293
160	300	5292
161	302	5292
162	303	5290
163	305	5288
164	307	5286
165	309	5285
166	311	5283
167	313	5280
168	315	5279
169	317	5278
170	318	5275
171	320	5273
172	322	5271
173	324	5269
174	326	5267
175	328	5265
176	329	5263
177	331	5261
178	333	5262
179	335	5260
180	337	5260
181	339	5259
182	341	5257
183	343	5255
184	345	5254
185	347	5252
186	349	5250
187	350	5248
188	352	5245
189	354	5243
190	356	5240
191	358	5238
192	360	5240
193	362	5242
194	364	5241
195	366	5239
196	368	5237
197	369	5235
198	371	5233
199	373	5231
200	375	5229
201	377	5227
202	379	5225
203	381	5224
204	383	5223
205	384	5221
206	386	5218
207	388	5216
208	390	5214
209	392	5212
